ID;Neighbourhood;City;Latitude;Longitude;Zipcode;PropertyType;RoomType;BedType;Beds;Bedrooms;Bathrooms;Accommodates;Amenities;Price;SecurityDeposit;CleaningFee;CancellationPolicy;ReviewScoresRating;Market;Internet;TV;Kitchen;Airconditioning;Heating
4196358;Centro;Madrid;40.42099216161933;-3.710401967861499;28013;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;68.0;0.0;17.0;strict;88;Madrid;True;True;True;True;True
13183219;Centro;Madrid;40.412028475410665;-3.715778795417614;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers;57.8;110.5;20.4;flexible;83;Madrid;True;True;True;True;True
15508358;Centro;Madrid;40.41512467560732;-3.7102938005955113;28013;Apartment;Entire home/apt;Real Bed;2.0;2.0;1.0;6;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Safety card,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;68.0;85.0;17.0;strict;95;Madrid;True;True;True;False;True
5547854;Centro;Madrid;40.40645117724535;-3.699536858845091;28012;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;23.8;0.0;0.0;moderate;88;Madrid;True;True;True;False;True
2966350;Centro;Madrid;40.41204778900974;-3.701021523297488;28012;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;42.5;76.5;21.25;strict;89;Madrid;True;False;True;False;True
4319780;Centro;Madrid;40.410469609965816;-3.701457309971553;28012;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;Wireless Internet,Air conditioning,Heating,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;34.0;127.5;17.0;flexible;91;Madrid;True;False;False;True;True
12807973;Centro;Madrid;40.40581437264116;-3.700251544601717;28012;Apartment;Entire home/apt;Real Bed;2.0;2.0;1.0;3;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;42.5;0.0;17.0;moderate;93;Madrid;True;True;True;True;True
12705598;Centro;Madrid;40.41098688796061;-3.7050591885379167;28012;Apartment;Private room;Real Bed;1.0;1.0;1.5;2;Internet,Wireless Internet,Kitchen,Washer,Dryer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;21.25;0.0;0.0;strict;89;Madrid;True;False;True;False;False
16959438;Centro;Madrid;40.41086697749362;-3.706966665173075;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;63.75;85.0;21.25;strict;100;Madrid;True;True;True;True;True
9535469;Centro;Madrid;40.41179965542782;-3.7039433023426462;28012;Apartment;Entire home/apt;Real Bed;3.0;1.0;1.0;5;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;63.75;170.0;29.75;strict;95;Madrid;True;True;True;True;True
429604;Centro;Madrid;40.41268109204176;-3.701247361306439;28012;Apartment;Entire home/apt;Real Bed;2.0;0.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Hangers,Hair dryer,Iron;55.25;170.0;0.0;flexible;100;Madrid;True;True;True;True;True
5446082;Centro;Madrid;40.41250621572405;-3.703883357747495;28012;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;33.15;0.0;10.2;moderate;89;Madrid;True;True;True;False;True
17049729;Centro;Madrid;40.421408098599485;-3.707649938101373;28013;Apartment;Entire home/apt;Real Bed;3.0;1.0;1.0;4;TV,Wireless Internet,Wheelchair accessible,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Essentials,Laptop friendly workspace,Private entrance;51.0;0.0;8.5;strict;75;Madrid;True;True;True;False;True
13940202;Centro;Madrid;40.41068105552736;-3.713488482306337;28005;Apartment;Entire home/apt;Real Bed;2.0;2.0;1.0;4;TV,Cable TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50;55.25;0.0;21.25;moderate;77;Madrid;True;True;True;False;True
1717189;Centro;Madrid;40.41205745086388;-3.709148993063115;28005;Apartment;Entire home/apt;Real Bed;2.0;2.0;2.0;6;TV,Cable TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;61.2;170.0;21.25;moderate;90;Madrid;True;True;True;False;True
16216763;Centro;Madrid;40.409771307715104;-3.717248479475317;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo;47.6;170.0;8.5;strict;95;Madrid;True;True;True;True;True
9151112;Centro;Madrid;40.41968006281567;-3.7107451758163816;28013;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;83.3;170.0;42.5;strict;88;Madrid;True;True;True;True;True
13197379;Centro;Madrid;40.40911329232872;-3.7116742868563577;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_50;42.5;0.0;17.0;moderate;100;Madrid;True;True;True;True;True
